,name,locality,state,address,rating,text
0,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,Johor,"1st Floor, <span class=""street-address"">52-01, Jalan Persiaran Susur Larkin Perdana 2</span>, <span class=""extended-address"">Taman Larkin Perdana</span>, <span class=""postal-code"">80350</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",5,Dr Jeyarajah is experienced and kind. He’s probably the best psychiatrist in JB. He even helped coach the young psychiatrists during his consultation with the patients. The new nurses have done a great job in making the clinic cozier and welcoming. Strongly recommended 😊👍🏻
1,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,Johor,"1st Floor, <span class=""street-address"">52-01, Jalan Persiaran Susur Larkin Perdana 2</span>, <span class=""extended-address"">Taman Larkin Perdana</span>, <span class=""postal-code"">80350</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",5,"Dr is nice and patient, he listened to your problems patiently and choose the most suitable method and medication as your treatment. The price was reasonable too. Will keep follow up in this clinic"
2,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,Johor,"1st Floor, <span class=""street-address"">52-01, Jalan Persiaran Susur Larkin Perdana 2</span>, <span class=""extended-address"">Taman Larkin Perdana</span>, <span class=""postal-code"">80350</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",5,"At first I was very reluctant and scared to see a psychiatrist, but visiting Dr Jeyarajah was one of the best decision I've made, I'm able to function again as a human being. He's a kind good man and also gives affordable prices. thank you so much, I am forever grateful :')"
3,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,Johor,"1st Floor, <span class=""street-address"">52-01, Jalan Persiaran Susur Larkin Perdana 2</span>, <span class=""extended-address"">Taman Larkin Perdana</span>, <span class=""postal-code"">80350</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",5,My experience with this doctor help me by giving me med that makes me feel more calm and I don't get panic attack as frequently as before. Do recommend those who seek help.
4,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,Johor,"1st Floor, <span class=""street-address"">52-01, Jalan Persiaran Susur Larkin Perdana 2</span>, <span class=""extended-address"">Taman Larkin Perdana</span>, <span class=""postal-code"">80350</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",5,"Dr.Jeya is my second psychiatrist, and I find him better than my former one. He listens to my concerns and pains, and I think that's how a psychiatrist should be to have an accurate diagnosis. I have taken the new medication he prescribed, and I find that the medicines help me with little or no downside. Dr.Jeya's clinic may not be fully furnished, but it's well cleaned. The only con is that he always seems not available in the afternoon after 12pm, nurses claimed that he is visiting other patients outside the clinic.

Further updates after 3 visits:
I have IED + depression, the medicine given to me by my previous psychiatrist other than being costly, they does not help but in fact giving side effects. So, I have Dr.Jeya to re-diagnose my illness, and after 6 weeks of taking the medicine prescribed by him, I am alive again. I managed to have my life back on track, myself & my family is so greatful to have  Dr.Jeya as my psychiatrist.

From my personal experience that have took me a year to find out, if you are having doubts about your existing psychiatrist or medicine, it's better to have another psychiatrist to re-diagnose your case.

Dr.Jeya's charges are so friendly that seeing a psychiatrist is no longer available for the rich only."
5,Chan Specialist Clinic,Johor Bahru,Johor,"<span class=""street-address"">99, Jalan Keris 1</span>, <span class=""extended-address"">Taman Sri Tebrau</span>, <span class=""postal-code"">80050</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",1,"lousy doctor no compassion, make me come all the way from Singapore for nothing already made appointment but rejects patients at the door 👎👎👎"
6,Chan Specialist Clinic,Johor Bahru,Johor,"<span class=""street-address"">99, Jalan Keris 1</span>, <span class=""extended-address"">Taman Sri Tebrau</span>, <span class=""postal-code"">80050</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",1,Very unprofessional and pathetic. Will not recommend to anyone. Wonder where he qualified from. Think he needs a shrink himself. Heard shrinks land up institutionalised themselves and think he’s leading there.
7,Chan Specialist Clinic,Johor Bahru,Johor,"<span class=""street-address"">99, Jalan Keris 1</span>, <span class=""extended-address"">Taman Sri Tebrau</span>, <span class=""postal-code"">80050</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",1,"Dr Chan has no patience. I regretted seeing him. Perhaps he only cares for getting more money from patients. Please go to other Psychiatrists, like Dr Jeyarajah near Larkin."
8,Chan Specialist Clinic,Johor Bahru,Johor,"<span class=""street-address"">99, Jalan Keris 1</span>, <span class=""extended-address"">Taman Sri Tebrau</span>, <span class=""postal-code"">80050</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",1,"If you choose to be a doctor, especially a psychiatrist , u must always prepare listening to the patients. Explain the things clearly and b patient. Otherwise just quit, close the clinic dun make patients suffer more."
9,Chan Specialist Clinic,Johor Bahru,Johor,"<span class=""street-address"">99, Jalan Keris 1</span>, <span class=""extended-address"">Taman Sri Tebrau</span>, <span class=""postal-code"">80050</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",1,Unprofessional and didn’t giv any patience to listen.
10,Hospital Permai Johor Bahru,Johor Bahru,Johor,"<span class=""street-address"">Persiaran Kempas Baru</span>, <span class=""extended-address"">Kempas Banjaran</span>, <span class=""postal-code"">81200</span> <span class=""locality"">Johor Bahru</span>, <span class=""region"">Johor</span>, <span class=""country-name"">Malaysia</span>",4,Ppv covid 19 center
