,name,locality,total_reviews,overall_service_score,overall_facility_score,overall_cost_score
0,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,10,4.848819202633798,3.4441309472979187,2.761973080825843
1,Chan Specialist Clinic,Johor Bahru,10,2.772197830549732,2.5,2.5
2,Hospital Permai Johor Bahru,Johor Bahru,15,2.7310585786300052,2.8807970779778826,2.5
3,Klinik Pakar Jimmy,Johor Bahru,8,1.4582859939996053,2.024003652527647,2.5
4,Arquila ժՏʍ-ѵ Psychology Consultant,Johor Bahru,10,4.671844010415575,2.9621171572600096,2.6224593312018545
5,Klinik Kaunseling Penawar,Johor Bahru,2,2.5,2.5,2.5
6,Klinik Dr. Mahmud Jb,Johor Bahru,10,2.9621171572600096,2.731058578630005,3.261594155955765
7,Soul Garden Counselling,Johor Bahru,10,4.114776715657158,2.9621171572600096,2.5
8,Tan Children's Clinic,Johor Bahru,2,4.403985389889412,3.6552928931500244,2.5
9,Orchid Family Polyclinic,Johor Bahru,10,3.461993762684023,3.379886026783482,2.5
10,KPJ Johor Specialist Hospital,Johor Bahru,10,2.3090367305551793,2.8807970779778826,1.7384058440442351
11,Klinik Achuta,Johor Bahru,10,2.6497384993478774,2.5,3.1118556566078874
12,Klinik Faizal dan Rakan-Rakan Larkin,Johor Bahru,10,1.6216755451787523,2.8807970779778826,2.0378828427399904
13,Shinewave Retreat - Rehabilitation centre & psychology counselling,Johor Bahru,2,4.403985389889412,2.5,2.5
14,Columbia Asia Hospital - Tebrau,Johor Bahru,10,4.459082333762547,4.1356983830093625,2.9621171572600096
15,Kempas Medical Centre,Johor Bahru,10,4.324592675145334,2.7310585786300052,2.5
16,Klinik Liew,Johor Bahru,10,3.362810868015791,2.7310585786300052,2.5
17,Sultan Ismail Hospital,Johor Bahru,10,3.437192730612896,3.106073856878003,2.5
18,宝宝小儿专科 S.T Lim Child Specialist,Johor Bahru,10,3.56407870818121,2.7310585786300052,2.8807970779778826
19,klinik pakar j.rajah,Johor Bahru,2,4.403985389889412,3.6552928931500244,2.5
20,Lsy Healthcare,Ulu Tiram,2,2.5,2.5,2.5
21,Columbia Asia Hospital - Iskandar Puteri,Nusajaya,10,4.429642670547072,3.7436079459936735,2.5
22,Gleneagles Hospital Medini Johor,Nusajaya,10,3.284849417512464,2.5,2.268941421369995
23,Kensington Green Specialist Centre - 晶泽专科医院 | Specialist Hospital Johor Bahru (JB) | Private Hospital,Nusajaya,10,3.1540635178415317,2.0378828427399904,1.806824264109985
24,Mohan Clinic And Surgery,Skudai,8,3.312018880964864,3.077646446575012,2.653074164002318
25,Pusat Kaunseling,Skudai,4,2.5,2.5,2.5
26,UTM Health Centre,Skudai,10,2.4952827317588033,2.9975273768433652,2.3914007525718497
27,Agape Couselling Centre Malaysia Johor Bahru,Masai,10,3.611520306477421,3.193175735890015,2.5
28,Dr BL Lim Centre For Psychological Wellness - Psychiatrist Singapore,Singapore,10,3.456833768433095,1.3070743363636304,1.5853087159175572
29,Dr Adrian Wang Psychiatric and Counselling Care,Singapore,2,4.058839328490396,0.5960146101105878,0.03346425462142428
30,Nobel Psychological Wellness Centre (Ang Mo Kio),Singapore,2,2.5,2.5,2.5
31,Nobel Psychological Wellness Centre (Novena Medical Centre),Singapore,10,3.8619003534334304,3.261594155955765,2.2689414213699948
32,Ko & Ko Specialists Pte Ltd,Singapore,2,3.6552928931500244,3.6552928931500244,2.5
33,The Psychological Wellness Centre,Singapore,10,2.44206912505701,3.1118556566078874,2.5
34,Inez Psychological Well-Being Clinic,Singapore,2,4.762870634112167,2.5,2.5
35,Ang Yong Guan Psychiatry,Singapore,10,2.6574563148836363,2.9525741268224337,1.7384058440442351
36,Promises Healthcare (Psychiatry & Psychology Clinic),Singapore,10,2.9933071490757146,2.731058578630005,2.5
37,KPJ PERLIS SPECIALIST HOSPITAL (HOSPITAL PAKAR KPJ PERLIS),Kangar,5,3.311775975041911,3.832460153605915,2.880797077977882
38,Kangar Hospital,Kangar,5,2.5095430304375763,2.9621171572600096,2.5
39,Dr Taran Singh - Orthopaedics & Sports,Kangar,3,3.303356316729847,2.8850976310500083,2.5
40,Jabatan Kesihatan Negeri Perlis,Kangar,1,2.5,2.5,2.5
41,UniMAP Health Center,Arau,2,2.5,2.5,2.5
42,Klinik Pakar Psikiatri Hospital Sultanah Bahiyah 2,Alor Setar,8,3.116633936344644,2.5,2.5
43,KEDAH MEDICAL CENTRE,Alor Setar,10,3.9867533947423874,2.9301339105832964,2.010603674593967
44,Hospital Sultanah Bahiyah,Alor Setar,10,3.6716170518582274,3.964021435901214,2.5
45,Putra Medical Centre Alor Setar,Alor Setar,5,4.0658679839433685,2.5,2.4904569695624237
46,"INS Specialist Centre Sdn Bhd, Alor Setar",Alor Setar,5,2.731058578630005,2.5,2.268941421369995
47,KPJ Healthcare Berhad,Alor Setar,1,2.5,2.5,2.5
