Unnamed: 0,name,locality,Preprocessed
0,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,"['dr', 'jeyarajah', 'experienced', 'kind', 'probably', 'best', 'psychiatrist', 'jb', 'even', 'helped', 'coach', 'young', 'psychiatrist', 'consultation', 'patient', 'new', 'nurse', 'done', 'great', 'job', 'making', 'clinic', 'cozier', 'welcoming', 'strongly', 'recommended']"
1,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,"['dr', 'nice', 'patient', 'listened', 'problem', 'patiently', 'choose', 'suitable', 'method', 'medication', 'treatment', 'price', 'reasonable', 'keep', 'follow', 'clinic']"
2,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,"['first', 'reluctant', 'scared', 'see', 'psychiatrist', 'visiting', 'dr', 'jeyarajah', 'one', 'best', 'decision', 'made', 'able', 'function', 'human', 'kind', 'good', 'man', 'also', 'give', 'affordable', 'price', 'thank', 'much', 'forever', 'grateful']"
3,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,"['experience', 'doctor', 'help', 'giving', 'med', 'make', 'feel', 'calm', 'get', 'panic', 'attack', 'frequently', 'recommend', 'seek', 'help']"
4,Dr. Jeyarajah S. @ Psychiatrists (Mental Illness Specialists),Johor Bahru,"['dr', 'jeya', 'second', 'psychiatrist', 'find', 'better', 'former', 'one', 'listens', 'concern', 'pain', 'think', 'psychiatrist', 'accurate', 'diagnosis', 'taken', 'new', 'medication', 'prescribed', 'find', 'medicine', 'help', 'little', 'downside', 'dr', 'jeya', 'clinic', 'may', 'fully', 'furnished', 'well', 'cleaned', 'con', 'always', 'seems', 'available', 'afternoon', 'pm', 'nurse', 'claimed', 'visiting', 'patient', 'outside', 'clinic', 'update', 'visit', 'ied', 'depression', 'medicine', 'given', 'previous', 'psychiatrist', 'costly', 'help', 'fact', 'giving', 'side', 'effect', 'dr', 'jeya', 'diagnose', 'illness', 'week', 'taking', 'medicine', 'prescribed', 'alive', 'managed', 'life', 'back', 'track', 'family', 'greatful', 'dr', 'jeya', 'psychiatrist', 'personal', 'experience', 'took', 'year', 'find', 'doubt', 'existing', 'psychiatrist', 'medicine', 'better', 'another', 'psychiatrist', 'diagnose', 'case', 'dr', 'jeya', 'charge', 'friendly', 'seeing', 'psychiatrist', 'longer', 'available', 'rich']"
5,Chan Specialist Clinic,Johor Bahru,"['lousy', 'doctor', 'compassion', 'make', 'come', 'way', 'singapore', 'nothing', 'already', 'made', 'appointment', 'reject', 'patient', 'door']"
6,Chan Specialist Clinic,Johor Bahru,"['unprofessional', 'pathetic', 'recommend', 'anyone', 'wonder', 'qualified', 'think', 'need', 'shrink', 'heard', 'shrink', 'land', 'institutionalised', 'think', 'leading']"
7,Chan Specialist Clinic,Johor Bahru,"['dr', 'chan', 'patience', 'regretted', 'seeing', 'perhaps', 'care', 'getting', 'money', 'patient', 'please', 'go', 'psychiatrist', 'like', 'dr', 'jeyarajah', 'near', 'larkin']"
8,Chan Specialist Clinic,Johor Bahru,"['choose', 'doctor', 'especially', 'psychiatrist', 'u', 'must', 'always', 'prepare', 'listening', 'patient', 'explain', 'thing', 'clearly', 'b', 'patient', 'otherwise', 'quit', 'close', 'clinic', 'dun', 'make', 'patient', 'suffer']"
9,Chan Specialist Clinic,Johor Bahru,"['unprofessional', 'giv', 'patience', 'listen']"
10,Hospital Permai Johor Bahru,Johor Bahru,"['ppv', 'covid', 'center']"
11,Hospital Permai Johor Bahru,Johor Bahru,"['good', 'hospital']"
12,Hospital Permai Johor Bahru,Johor Bahru,"['problem', 'happend', 'regarding', 'problem', 'can', 'not', 'settle', 'bring', 'pation', 'doctor', 'appoinment', 'date']"
13,Hospital Permai Johor Bahru,Johor Bahru,"['may', 'covid', 'go', 'away']"
14,Hospital Permai Johor Bahru,Johor Bahru,"['easy', 'use']"
15,Klinik Pakar Jimmy,Johor Bahru,"['great', 'doctor', 'reasonable', 'sound', 'advice']"
16,Klinik Pakar Jimmy,Johor Bahru,"['give', 'zero', 'star', 'worst', 'experience', 'kind', 'horibble', 'attitude', 'doctor', 'full', 'threatening', 'sound', 'consultantion', 'fee', 'rm', 'without', 'medicine', 'relocated', 'city', 'plaza']"
17,Klinik Pakar Jimmy,Johor Bahru,"['doctor', 'nurse', 'sense', 'responsibility', 'clinic', 'open', 'without', 'notifying', 'patient', 'phone', 'could', 'reached', 'say', 'open']"
18,Klinik Pakar Jimmy,Johor Bahru,"['bad', 'doctor', 'take', 'medicine', 'go', 'hospital', 'examination']"
19,Arquila ժՏʍ-ѵ Psychology Consultant,Johor Bahru,"['much', 'experience', 'come', 'psychologist', 'say', 'sure', 'miss', 'arquila', 'best', 'truly', 'care', 'patient', 'willing', 'go', 'beyond', 'help', 'every', 'session', 'always', 'comfortable', 'judgemental', 'invalidate', 'experience', 'feeling', 'miss', 'arquila', 'empathetic', 'person', 'never', 'problem', 'open', 'reach', 'help', 'importantly', 'maintains', 'professionalism', 'highest', 'level', 'someone', 'struggle', 'social', 'anxiety', 'time', 'find', 'professionalism', 'helpful', 'getting', 'consultation', 'waste', 'way', 'honestly', 'worth', 'mental', 'health']"
20,Arquila ժՏʍ-ѵ Psychology Consultant,Johor Bahru,"['could', 'describe', 'word', 'grateful', 'actually', 'therapist', 'helpful', 'mental', 'health', 'recovering', 'journey', 'couldnt', 'ask', 'validates', 'feeling', 'make', 'see', 'thing', 'different', 'perspective', 'recommend']"
21,Arquila ժՏʍ-ѵ Psychology Consultant,Johor Bahru,"['honestly', 'basically', 'best', 'dr', 'really', 'help', 'improve', 'life', 'calm', 'mental', 'illness', 'nice', 'reach', 'someone', 'help', 'like', 'best', 'friend', 'reached', 'help']"
22,Arquila ժՏʍ-ѵ Psychology Consultant,Johor Bahru,"['end', 'sixth', 'session', 'therapist', 'feel', 'calmer', 'handle', 'anxiety', 'better', 'therapist', 'always', 'assure', 'feel', 'wrong', 'validate', 'feeling', 'totally', 'recommended', 'feel', 'alone', 'journey', 'get', 'better']"
23,Arquila ժՏʍ-ѵ Psychology Consultant,Johor Bahru,"['service', 'great', 'recommended', 'heard', 'expression', 'feeling', 'thoroughly', 'answered', 'enquiry', 'sickness', 'end', 'day', 'found', 'way', 'live', 'life', 'help']"
24,Klinik Kaunseling Penawar,Johor Bahru,"['looking', 'dr', 'ramly', 'new', 'clinic', 'still', 'gone']"
25,Klinik Dr. Mahmud Jb,Johor Bahru,"['good', 'dr']"
26,Klinik Dr. Mahmud Jb,Johor Bahru,"['clinic', 'god', 'send', 'opiods', 'affliction', 'simple', 'hassle', 'free', 'procedure', 'affordable', 'price', 'replacement', 'therapy', 'grateful', 'dr', 'mahmud', 'god', 'bless', 'staff', 'selamat', 'hari', 'hari', 'hari', 'raya']"
27,Klinik Dr. Mahmud Jb,Johor Bahru,"['informative', 'helpful', 'price', 'also', 'reasonable']"
28,Klinik Dr. Mahmud Jb,Johor Bahru,"['general', 'practitioner', 'addiction', 'treatment', 'centre', 'counseling', 'friendly', 'staff', 'dan', 'nurse', 'experience', 'doktor', 'incharge']"
29,Klinik Dr. Mahmud Jb,Johor Bahru,"['specialist', 'drug', 'rehab']"
30,Lsy Healthcare,Ulu Tiram,"['professional', 'expert', 'therapist', 'provide', 'excellent', 'therapy']"
31,Soul Garden Counselling,Johor Bahru,"['seldom', 'write', 'review', 'time', 'would', 'express', 'gratitude', 'towards', 'm', 'yeoh', 'appreciate', 'admin', 'm', 'yeoh', 'picking', 'phone', 'answering', 'doubt', 'last', 'night', 'although', 'shown', 'rest', 'day', 'centre', 'really', 'thankful', 'm', 'yeoh', 'understanding', 'thoughtful', 'willing', 'answer', 'doubt', 'related', 'question', 'know', 'psychiatrist', 'counsellor', 'different', 'thing', 'counselling', 'service', 'function', 'clear', 'doubt', 'whether', 'make', 'move', 'indeed', 'encouraging', 'really', 'feel', 'ease', 'even', 'short', 'min', 'conversation', 'touched', 'heart', 'deep', 'inside', 'understanding', 'concern', 'mother', 'hardship', 'full', 'time', 'woman', 'chat', 'son', 'make', 'appointment', 'centre', 'soon', 'salute', 'centre', 'admin', 'professional', 'enough', 'handle', 'emotion', 'looking', 'forward', 'meet', 'counsellor', 'side', 'note', 'centre', 'require', 'appointment', 'order', 'meet', 'counsellor', 'meanwhile', 'call', 'centre', 'service']"
32,Soul Garden Counselling,Johor Bahru,"['went', 'visit', 'last', 'week', 'feel', 'much', 'better', 'right', 'counsellor', 'helpful', 'listen', 'even', 'cry', 'hard', 'yet', 'could', 'understand', 'situation', 'figure', 'say', 'experience', 'handling', 'situation', 'thank', 'listening', 'ear', 'suggest', 'want', 'go', 'counselling', 'session', 'make', 'appointment', 'earlier', 'maybe', 'day', 'call', 'day', 'asked', 'immediate', 'appointment', 'full', 'schedule', 'day', 'already', 'arrange', 'day', 'still', 'overall', 'satisfy', 'understanding', 'try', 'arrange', 'fastest', 'slot']"
33,Soul Garden Counselling,Johor Bahru,"['good', 'service']"
34,Soul Garden Counselling,Johor Bahru,"['empathetic', 'supportive', 'counselor', 'brother', 'seems', 'improve', 'lot', 'attending', 'session', 'might', 'service', 'aircon', 'feel', 'quite', 'hot', 'afternoon']"
35,Soul Garden Counselling,Johor Bahru,"['inexperience', 'dealing', 'university', 'student', 'case', 'feel', 'helpful']"
36,Tan Children's Clinic,Johor Bahru,"['good', 'experienced', 'doctor']"
37,Orchid Family Polyclinic,Johor Bahru,"['get', 'vaccination', 'nurse', 'doctor', 'super', 'friendly', 'patient', 'explain', 'answer', 'question']"
38,Orchid Family Polyclinic,Johor Bahru,"['came', 'daughter', 'second', 'covid', 'shot', 'nice', 'cleaned', 'quiet', 'place', 'environment', 'feel', 'like', 'typical', 'clinic']"
39,Orchid Family Polyclinic,Johor Bahru,"['dr', 'henry', 'kind', 'knowledgeable', 'patient', 'courteous', 'forthright', 'explains', 'option', 'thoroughly', 'layman', 'term', 'clinic', 'located', 'conveniently', 'near', 'custom', 'even', 'reserved', 'parking', 'lot', 'emergency', 'would', 'recommend', 'orchid', 'family', 'polyclinic', 'heartbeat']"
40,Orchid Family Polyclinic,Johor Bahru,"['doctor', 'staff', 'friendly', 'kind', 'patient', 'environment', 'also', 'comfortable', 'made', 'almost', 'fall', 'asleep', 'great', 'experience', 'although', 'injured']"
41,Orchid Family Polyclinic,Johor Bahru,"['friendly', 'staff', 'comfortable', 'environment', 'great', 'doctor', 'help', 'diagnose', 'treat', 'illness', 'weather', 'overall', 'nothing', 'short', 'seamless', 'experience', 'keep', 'good', 'work', 'orchid', 'family', 'polyclinic', 'team']"
42,Columbia Asia Hospital - Iskandar Puteri,Nusajaya,"['service', 'ok', 'doctor', 'professional']"
43,Columbia Asia Hospital - Iskandar Puteri,Nusajaya,"['colombia', 'asia', 'iskandar', 'puteri', 'among', 'best', 'private', 'hospital', 'dr', 'dimit', 'treated', 'made', 'sure', 'received', 'right', 'treatment', 'explained', 'clearly', 'staff', 'nurse', 'truly', 'nice', 'friendly', 'monitored', 'well', 'overall', 'pleased', 'service']"
44,Columbia Asia Hospital - Iskandar Puteri,Nusajaya,"['good', 'service', 'fast', 'response', 'systematic', 'system', 'place', 'staff', 'response', 'politely']"
45,Columbia Asia Hospital - Iskandar Puteri,Nusajaya,"['pharmacy', 'service', 'excellent', 'explain', 'well', 'easy', 'understand']"
46,Columbia Asia Hospital - Iskandar Puteri,Nusajaya,"['visiting', 'colombia', 'asia', 'hospital', 'booster', 'dose', 'waw', 'good', 'specialist', 'service', 'great', 'thank', 'much']"
47,KPJ Johor Specialist Hospital,Johor Bahru,"['hell', 'place', 'since', 'give', 'appointment', 'date', 'wth', 'hell', 'parking', 'service', 'waiting', 'hr', 'minute', 'receptionist', 'even', 'courtesy', 'tell', 'st', 'come', 'n', 'st', 'serve', 'go', 'check', 'already', 'hr', 'minute', 'waiting', 'without', 'eating', 'anything', 'hell', 'going', 'go', 'government', 'also', 'paying', 'also', 'service', 'question', 'st', 'come', 'st', 'serve', 'point', 'must', 'put', 'time', 'appointment', 'hand', 'wrote', 'appointment', 'card', 'appointment', 'st', 'come', 'st', 'serve', 'really', 'unprofessional', 'way']"
48,KPJ Johor Specialist Hospital,Johor Bahru,"['terrible', 'experience', 'pharmacy', 'counter', 'never', 'waited', 'long', 'get', 'prescription', 'bloody', 'one', 'hour', 'wait', 'get', 'prescription', 'ridiculous', 'asked', 'estimate', 'time', 'done', 'lady', 'counter', 'merely', 'said', 'wait', 'number', 'called', 'instead', 'asking', 'pharmacist', 'back', 'long', 'take', 'reflects', 'poor', 'customer', 'service', 'really', 'ruined', 'whole', 'experience', 'cant', 'believe', 'inefficient', 'whole', 'system']"
49,KPJ Johor Specialist Hospital,Johor Bahru,"['ortho', 'never', 'blood', 'test', 'despite', 'seeing', 'dad', 'day', 'one', 'heel', 'wound', 'dressing', 'blood', 'infected', 'bacteria', 'never', 'touched', 'wound', 'nurse', 'dressing', 'final', 'solution', 'amputate', 'value', 'given', 'life', 'money', 'making', 'unfortunate', 'would', 'strongly', 'recommend', 'maria', 'hospital', 'jln', 'ngee', 'heng', 'good', 'caring', 'doctor', 'patient', 'always', 'st']"
50,KPJ Johor Specialist Hospital,Johor Bahru,"['poor', 'dispensary', 'service', 'claim', 'stock', 'collect', 'new', 'stock', 'wait', 'much', 'longer', 'wait', 'medicine', 'longer', 'wait', 'see', 'doctor']"
51,KPJ Johor Specialist Hospital,Johor Bahru,"['place', 'make', 'u', 'calming', 'intensely']"
52,Klinik Achuta,Johor Bahru,"['always', 'best', 'doctor', 'consaltent']"
53,Klinik Achuta,Johor Bahru,"['compassionate', 'understanding', 'doctor']"
54,Klinik Achuta,Johor Bahru,"['dr', 'ramash', 'amazing', 'doctor', 'really', 'friendly', 'person', 'passion', 'charger', 'affordable']"
55,Klinik Achuta,Johor Bahru,"['even', 'left', 'place', 'feeling', 'disappointed']"
56,Klinik Achuta,Johor Bahru,"['friendly', 'doctor', 'nurse', 'charge', 'affordable']"
57,Klinik Faizal dan Rakan-Rakan Larkin,Johor Bahru,"['one', 'malay', 'lady', 'reception', 'went', 'april', 'pm', 'rude', 'people', 'even', 'leave', 'clinic', 'attitude', 'dear', 'clinic', 'management', 'please', 'take', 'action', 'specific', 'malay', 'lady', 'treat', 'u', 'like', 'dog']"
58,Klinik Faizal dan Rakan-Rakan Larkin,Johor Bahru,"['spacious', 'new', 'clinic', 'medicine', 'overpriced', 'registration', 'take', 'minute']"
59,Klinik Faizal dan Rakan-Rakan Larkin,Johor Bahru,"['kind', 'helpful', 'doctor']"
